Organism Taxonomic ID	Organism Name	Assembly Accession	Source Database	Assembly Level	Assembly Refseq Category	Assembly Status	Assembly Release Date	Priority	Status	_merge
2857										left_only
2857										left_only
2857										left_only
2995										left_only
2996	Hydrurus foetidus	GCA_900617105.1	SOURCE_DATABASE_GENBANK	Contig		current	2019-04-01	9.0	Genbank contig	right_only
3468										left_only
3469	Papaver somniferum	GCF_003573695.1	SOURCE_DATABASE_REFSEQ	Chromosome	reference genome	current	2018-09-18	1.0	reference genome	right_only
3469	Papaver somniferum	GCA_003573695.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2018-09-18	1.0	reference genome	right_only
3573										left_only
3579										left_only
3579										left_only
3618										left_only
3784										left_only
3798										left_only
3798										left_only
3798										left_only
3798										left_only
3798										left_only
4219										left_only
4382										left_only
4544										left_only
4544										left_only
4545	Poa pratensis	GCA_947311845.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2022-12-02	1.0	reference genome	right_only
4605										left_only
4958										left_only
4959	Debaryomyces hansenii	GCA_016097625.1	SOURCE_DATABASE_GENBANK	Complete Genome		current	2020-12-17	7.0	Genbank complete genome	right_only
4959	Debaryomyces hansenii	GCA_028412075.1	SOURCE_DATABASE_GENBANK	Complete Genome		current	2023-02-02	7.0	Genbank complete genome	right_only
4959	Debaryomyces hansenii	GCA_028609645.1	SOURCE_DATABASE_GENBANK	Complete Genome		current	2023-02-13	7.0	Genbank complete genome	right_only
5199										left_only
5402										left_only
6668										left_only
6669	Daphnia pulex	GCF_021134715.1	SOURCE_DATABASE_REFSEQ	Chromosome	reference genome	current	2021-12-09	1.0	reference genome	right_only
6669	Daphnia pulex	GCA_021134715.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2021-12-09	1.0	reference genome	right_only
8386	Rhinella marina	GCA_900303285.2	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2024-06-11	1.0	reference genome	right_only
13054										left_only
13289										left_only
13290	Tilletia caries	GCA_032718865.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-10-16	1.0	reference genome	right_only
13291	Tilletia controversa	GCA_905071765.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2022-02-18	1.0	reference genome	right_only
13328										left_only
13398										left_only
13538										left_only
13538										left_only
13645										left_only
15193	Carex hirta	GCA_965112215.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-01-23	1.0	reference genome	right_only
15297										left_only
15452										left_only
18794										left_only
21496										left_only
22774										left_only
23028	Sedum acre	GCA_966183415.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-08-23	1.0	reference genome	right_only
23029	Sedum album	GCA_006409495.1	SOURCE_DATABASE_GENBANK	Contig	reference genome	current	2019-06-24	1.0	reference genome	right_only
23075										left_only
24956										left_only
26779										left_only
26779										left_only
27295	Debaryomyces castellii	GCA_032927745.1	SOURCE_DATABASE_GENBANK	Contig	reference genome	current	2023-10-23	1.0	reference genome	right_only
27296	Debaryomyces coudertii	GCA_030564605.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-07-31	1.0	reference genome	right_only
27297	Debaryomyces maramus	GCA_030583545.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-07-31	1.0	reference genome	right_only
27299	Debaryomyces nepalensis	GCA_030583445.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-07-31	1.0	reference genome	right_only
27339	Cladonia grayi	GCA_964255175.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2024-09-21	1.0	reference genome	right_only
27404	Daphnia galeata	GCA_030770115.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2023-08-21	1.0	reference genome	right_only
27897										left_only
28551	Debaryomyces udenii	GCA_030556595.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-07-31	1.0	reference genome	right_only
28555	Debaryomyces robertsiae	GCA_046867545.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2025-01-21	1.0	reference genome	right_only
28641										left_only
28643	Bombus pensylvanicus	GCA_051853225.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-08-06	1.0	reference genome	right_only
29771	Saxifraga oppositifolia	GCA_032718425.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-10-16	1.0	reference genome	right_only
29882										left_only
30191	Bombus hypnorum	GCA_911387925.2	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-10-14	1.0	reference genome	right_only
30192	Bombus lapidarius	GCA_964186655.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2024-06-07	1.0	reference genome	right_only
30193	Bombus lucorum	GCA_965261305.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-04-27	1.0	reference genome	right_only
30194	Bombus pratorum	GCA_930367275.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-02-13	1.0	reference genome	right_only
30195	Bombus terrestris	GCF_910591885.1	SOURCE_DATABASE_REFSEQ	Chromosome	reference genome	current	2022-02-09	1.0	reference genome	right_only
30195	Bombus terrestris	GCA_910591885.2	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-02-09	1.0	reference genome	right_only
30201	Bombus sylvestris	GCA_911622165.2	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-10-15	1.0	reference genome	right_only
30202	Bombus vestalis	GCA_963556215.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2023-10-10	1.0	reference genome	right_only
32118										left_only
32119	Rumohra adiantiformis	GCA_033807815.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-11-20	1.0	reference genome	right_only
33132	Epilobium ciliatum	GCA_965637465.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-07-09	1.0	reference genome	right_only
33644										left_only
34444										left_only
34451										left_only
34451										left_only
34453										left_only
35140										left_only
35523	Daphnia pulicaria	GCF_021234035.1	SOURCE_DATABASE_REFSEQ	Chromosome	reference genome	current	2022-01-11	1.0	reference genome	right_only
35523	Daphnia pulicaria	GCA_021234035.2	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-01-11	1.0	reference genome	right_only
35525	Daphnia magna	GCF_020631705.1	SOURCE_DATABASE_REFSEQ	Chromosome	reference genome	current	2021-10-27	1.0	reference genome	right_only
35525	Daphnia magna	GCA_020631705.2	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2021-10-27	1.0	reference genome	right_only
35527	Daphnia obtusa	GCA_052054635.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-08-15	1.0	reference genome	right_only
35608	Artemisia annua	GCA_014162995.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2020-08-11	1.0	reference genome	right_only
