target_taxid	organism_taxid	assembly_accession	note
2996	2996	GCA_900617105.1	species_level
4959	4959	GCA_024256405.1	species_level
27898			no_assembly
28933			no_assembly
28935			no_assembly
29672			no_assembly
29771	29771	GCA_032718425.1	species_level
32119	32119	GCA_033807815.1	species_level
36063	76867	GCA_000827355.1	genus_representative
39862	37657	GCF_048544455.1	genus_representative
42846	35523	GCF_021234035.1	genus_representative
46319			no_assembly
50452	50452	GCA_900128785.1	species_level
52153	464072	GCA_051419415.1	genus_representative
56490	370292	GCA_014904855.1	genus_representative
62722	576137	GCA_900073065.1	genus_representative
77067	1413687	GCA_040801865.1	genus_representative
81839			no_assembly
83410	102714	GCA_965199075.1	genus_representative
85263	102714	GCA_965199075.1	genus_representative
85710	878211	GCA_944039245.1	genus_representative
87701	93036	GCA_026929855.1	genus_representative
88642	88642	GCA_964257585.1	species_level
92075			no_assembly
93036	93036	GCA_026929855.1	species_level
95767			no_assembly
97227			no_assembly
102714	102714	GCA_965199075.1	species_level
111071	72781	GCF_003651465.1	genus_representative
122554			no_assembly
127563	127563	GCA_002887195.1	species_level
128766			no_assembly
128767			no_assembly
129212	129212	GCA_048933195.1	species_level
134639	585988	GCA_973350105.1	genus_representative
135145	135145	GCA_048127345.1	species_level
138601			no_assembly
139363	1448309	GCA_014904985.1	genus_representative
140628			no_assembly
140813	241230	GCF_964058835.1	genus_representative
157178	13291	GCA_905071765.1	genus_representative
157520	73102	GCA_046119095.1	genus_representative
159298			no_assembly
164537	164540	GCA_031472005.1	genus_representative
168919			no_assembly
175055	175095	GCA_965240305.1	genus_representative
176815	152972	GCA_965121685.1	genus_representative
184082			no_assembly
184104	174074	GCA_947623385.2	genus_representative
185980	2109649	GCA_900642245.1	genus_representative
186513	878211	GCA_944039245.1	genus_representative
186720	258209	GCA_963556465.1	genus_representative
187635	187635	GCA_034696425.1	species_level
199609	2890055	GCA_964267185.3	genus_representative
204742			no_assembly
212688			no_assembly
214434			no_assembly
216617			no_assembly
220395	878211	GCA_944039245.1	genus_representative
220402	878211	GCA_944039245.1	genus_representative
221504			no_assembly
223866	259893	GCA_030686995.1	genus_representative
226588	2822767	GCA_965233645.1	genus_representative
229869	229869	GCA_034700625.1	species_level
230722			no_assembly
242528	242528	GCA_046244935.1	species_level
245077			no_assembly
271024			no_assembly
271547			no_assembly
282750			no_assembly
284366	284366	GCA_053567975.1	species_level
284592	284592	GCF_000006445.2	species_level
285081			no_assembly
286097	8386	GCA_900303285.2	genus_representative
287373	287373	GCA_964261585.1	species_level
299780	43171	GCA_948329865.1	genus_representative
303395			no_assembly
304816			no_assembly
309942	30195	GCF_910591885.1	genus_representative
315203			no_assembly
315524			no_assembly
324491			no_assembly
327266	492533	GCA_022651775.1	genus_representative
328905	1521163	GCA_977112325.1	genus_representative
332565			no_assembly
338686			no_assembly
338688			no_assembly
342899			no_assembly
344590	486041	GCF_000143565.1	genus_representative
346724	866018	GCA_030264155.1	genus_representative
350623	350623	GCA_018257865.1	species_level
