species_id,mode,kraken_total,kraken_classified,kraken_genus,kraken_correct,competitive_classified,competitive_genus,competitive_correct
39862,aeDNA,63392369,2651415,2381179,2181806,485862,293407,285249
39862,modern,63392369,8966266,8572110,8298143,937509,785070,773884
42846,aeDNA,37010028,3805860,3540149,3424482,853862,755188,745669
42846,modern,37010028,10926872,10582245,10503230,1132518,989649,980418
111071,aeDNA,55384458,3196695,2258524,1846135,537499,370315,202420
111071,modern,55384458,8436001,6957921,6156194,791058,569164,204548
344590,aeDNA,12968964,1567266,1522860,1501242,3766246,3736960,3724735
344590,modern,12968964,4566933,4522802,4499532,129351,119619,119111
357475,aeDNA,542766685,45556392,43594767,42395153,1487267,1249591,1220720
357475,modern,542766685,148608557,146208517,144952469,2346937,1923867,1885473
408822,aeDNA,8603116,1789717,1640416,1593362,4596027,4519820,4505400
408822,modern,8603116,4799798,4690578,4637181,72107,70881,63761
1250597,aeDNA,40516403,12546975,12146047,11882185,33543629,33492083,33491392
1250597,modern,40516403,33060374,32905684,32796289,41508,3499,97
