species_id,mode,kraken_total,kraken_classified,kraken_genus,kraken_correct,competitive_classified,competitive_genus,competitive_correct
39862,aeDNA,63392369,2651415,2381179,2181806,63080092,62818847,62818180
39862,modern,63392369,8966266,8572110,8298143,63345697,62874441,62874441
42846,aeDNA,37010028,3805860,3540149,3424482,36789580,36562311,36562059
42846,modern,37010028,10926872,10582245,10503230,37005797,36708281,36708281
111071,aeDNA,55384458,3196695,2258524,1846135,48410837,44643215,44642769
111071,modern,55384458,8436001,6957921,6156194,48447908,41254620,41254620
344590,aeDNA,12968964,1567266,1522860,1501242,11689802,11647620,11647620
344590,modern,12968964,4566933,4522802,4499532,11694949,11628355,11628355
357475,aeDNA,542766685,45556392,43594767,42395153,535980298,535421610,535420921
357475,modern,542766685,148608557,146208517,144952469,541392004,540428632,540428632
408822,aeDNA,8603116,1789717,1640416,1593362,8589862,8499190,8499190
408822,modern,8603116,4799798,4690578,4637181,8590164,8262492,8262492
1250597,aeDNA,40516403,12546975,12146047,11882185,40513574,40089473,40089464
1250597,modern,40516403,33060374,32905684,32796289,40516407,39597409,39597409
