species_id,total_tiles,ngslca_out,bamdam_out,bamdam_correct_genus,kraken_total,kraken_genus_level,kraken_correct_genus,overlap
1085736,61961014,102961,30263,19482,61961014,218756,9355,2191
111071,55384458,537500,370315,202420,55384458,3001574,2397795,50317
1118155,2287167,133820,128578,127566,2287167,109734,97075,32844
1250597,40516403,33543630,33492083,33491392,40516403,14235532,13859196,11361435
127563,13070998,30997,19883,16916,13070998,90257,6628,5389
129212,99650326,46824,10548,765,99650326,136407,198,145
1293966,198815545,226816,39818,509,198815545,1034674,1755,34
134639,176068913,846680,missing,missing,176068913,1792488,18583,missing
135145,38068302,182164,18999,2568,38068302,285664,3014,306
1351830,56461806,369583,75798,20304,56461806,398579,21315,1373
139363,13416574,5565,1517,789,13416574,13793,414,216
1395542,547624254,974974,528196,3340,547624254,5889889,289854,535
1398205,98070272,missing,missing,missing,98070272,1437680,17610,missing
140813,76199204,630989,165596,80710,76199204,724835,142963,30697
1483842,57789444,93938,19420,0,57789444,462580,71,0
1532265,66977684,1680661,417043,106267,66977684,1370735,46505,19876
1534596,62814205,71304,23058,14721,62814205,240703,2045,609
1553662,113016402,461913,57345,189,113016402,676346,784,7
157178,9964900,263019,68047,48120,9964900,198310,117117,2240
157520,134648196,31574,11956,684,134648196,1126815,32178,88
164537,7843955,10039,3270,612,7843955,23132,245,166
1715899,156151613,397689,63016,4108,156151613,992093,21197,673
175055,67506383,120395,37577,10313,67506383,384185,31797,2170
1753982,8199080,19336,6078,4828,8199080,12315,2651,745
184104,7618595,32261,27200,24688,7618595,48805,14697,7193
185980,19637411,47590,36971,602,19637411,46446,276,219
186720,68164941,1556476,missing,missing,68164941,868029,139295,missing
1875977,112048391,15540,7462,430,112048391,346557,2386,86
1875987,217353625,226636,148951,194,217353625,897917,193,27
187635,41379904,5442,2964,322,41379904,96522,116,60
1886436,66426313,183382,15883,551,66426313,408799,10121,107
1963269,31308144,73696,14536,2399,31308144,410493,1032,522
199609,82620669,223629,82626,64408,82620669,516460,7341,372
223866,1605954290,missing,missing,missing,1605954290,13946078,470741,missing
226588,10015208,43844,27442,27134,10015208,13653,1205,314
229869,21935520,33811,16830,172,21935520,97179,141,28
242528,321355253,124397,54754,21344,321355253,794533,5263,1634
284366,109718349,591008,112989,6372,109718349,653183,79069,1354
284592,2436311,1590727,1585201,1584802,2436311,1039958,1022784,581112
286097,65436798,822594,425606,57,65436798,1795385,38635,14
287373,63303964,597277,432545,63,63303964,1231375,49268,6
2886538,92752173,364909,53648,28,92752173,632958,5565,2
2905844,49905511,5308,1564,38,49905511,66192,20,5
29771,265073,749,321,306,265073,864,52,22
2996,34186819,189639,39177,965,34186819,304337,1460,216
299780,68166428,76117,11814,2064,68166428,313374,12672,595
2998212,66549744,304136,274154,827,66549744,473217,364,151
309942,67695084,13768824,13301626,13245184,67695084,6598313,6281302,4172710
32119,416587248,301441,68821,583,416587248,976503,478,70
327266,145564777,117607,29682,42,145564777,1066168,58264,3
328905,39977261,56764,15948,1996,39977261,104324,747,434
344590,12968964,3766247,3736960,3724735,12968964,1793095,1761484,1327781
346724,45594840,70327,40152,114,45594840,137677,18,7
350623,7650532,22748,18977,18096,7650532,21493,7511,5775
357475,542766685,1487268,1249591,1220720,542766685,51554437,49711474,405187
36063,7643476,13871,11430,10739,7643476,14190,4753,3683
370026,34199309,6655,4003,39,34199309,42094,18,3
39862,63392369,485863,293407,285249,63392369,2902767,2577312,54603
408822,8603116,4596028,4519820,4505400,8603116,1991841,1930013,1550881
410632,72660894,113474,20076,0,72660894,350898,14933,0
428162,324217889,347999,64228,8902,324217889,1947908,80037,810
42846,37010028,853863,755188,745669,37010028,4195873,4014375,236037
441507,107257933,90819,8167,543,107257933,296122,2418,40
466727,59777873,130315,24061,3237,59777873,160668,1135,583
475014,195408887,1345107,189214,81631,195408887,1878750,65709,17255
4959,4954474,967830,924814,921032,4954474,1218753,1182973,327657
50452,62328333,1377213,1119910,827840,62328333,1055250,387669,210355
52153,224672353,1795322,1086360,6408,224672353,1613055,6068,1111
525771,64112800,210077,89353,250,64112800,1294901,2658,13
56490,7254918,1337,268,18,7254918,6312,12,3
596920,13779873,16954,8919,8040,13779873,15258,59,10
62722,13936593,29470,22495,2153,13936593,77090,1004,683
630096,89073705,198187,29980,1182,89073705,756442,68258,87
651987,41938966,153109,75552,64227,41938966,280132,1804,585
707889,47904272,34437,26787,254,47904272,78427,113,35
77067,67372617,681245,354949,78586,67372617,1992124,32373,5719
83410,289167764,1027617,missing,missing,289167764,1515539,88470,missing
85710,51342615,3003595,500337,82572,51342615,1144615,85020,23947
87701,355952152,1575142,862474,27975,355952152,3210023,39817,6398
88642,5441082,2547,997,199,5441082,10057,132,60
984906,20986340,127196,30716,27908,20986340,129652,11829,6902
