Organism Taxonomic ID	Organism Name	Assembly Accession	Source Database	Assembly Level	Assembly Refseq Category	Assembly Status	Assembly Release Date	Priority	Status	_merge
2996	Hydrurus foetidus	GCA_900617105.1	SOURCE_DATABASE_GENBANK	Contig		current	2019-04-01	8.0	Genbank contig	both
4959	Debaryomyces hansenii	GCA_016097625.1	SOURCE_DATABASE_GENBANK	Complete Genome		current	2020-12-17	5.0	Genbank complete genome	both
4959	Debaryomyces hansenii	GCA_028412075.1	SOURCE_DATABASE_GENBANK	Complete Genome		current	2023-02-02	5.0	Genbank complete genome	both
4959	Debaryomyces hansenii	GCA_028609645.1	SOURCE_DATABASE_GENBANK	Complete Genome		current	2023-02-13	5.0	Genbank complete genome	both
27898										left_only
28933										left_only
28935										left_only
29672										left_only
29771	Saxifraga oppositifolia	GCA_032718425.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-10-16	1.0	reference genome	both
32119	Rumohra adiantiformis	GCA_033807815.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-11-20	1.0	reference genome	both
36063										left_only
39862										left_only
42846										left_only
46319										left_only
50452	Arabis alpina	GCA_900128785.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2016-12-31	1.0	reference genome	both
52153										left_only
56490										left_only
62722										left_only
77067										left_only
81839										left_only
83410										left_only
85263										left_only
85710										left_only
87701										left_only
88642	Rhizocarpon geographicum	GCA_964257585.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2024-09-21	1.0	reference genome	both
92075										left_only
93036	Poa annua	GCA_026929855.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-12-16	1.0	reference genome	both
95767										left_only
97227										left_only
102714	Saxifraga aizoides	GCA_965199075.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-03-13	1.0	reference genome	both
111071										left_only
122554										left_only
127563	Chrysochromulina parva	GCA_002887195.1	SOURCE_DATABASE_GENBANK	Contig	reference genome	current	2018-01-17	1.0	reference genome	both
128766										left_only
128767										left_only
129212	Polytrichastrum alpinum	GCA_048933195.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-03-25	1.0	reference genome	both
134639										left_only
135145	Carabus depressus	GCA_048127345.1	SOURCE_DATABASE_GENBANK	Contig	reference genome	current	2025-02-26	1.0	reference genome	both
138601										left_only
139363										left_only
140628										left_only
140813										left_only
