species_taxid	species_name	genus_taxid	genus_name
102714	Saxifraga aizoides	3798	Saxifraga
1042862	Diamesa bertrami	338156	Diamesa
1085736	Gentiana orbicularis	21496	Gentiana
1091530	Gaultheria caespitosa	13538	Gaultheria
1107644	Erigone tirolensis	247614	Erigone
111071	Formica lugubris	72766	Formica
1149905	Nebria nivalis	60834	Nebria
1177201	Nebria rufescens	60834	Nebria
122554	Chlorocrepis staticifolia	1263258	Chlorocrepis
1250597	Platynothrus punctatus	128014	Platynothrus
1267525	Mitopus morio	1046861	Mitopus
127563	Chrysochromulina parva	35140	Chrysochromulina
128766	Tomentella atramentaria	56494	Tomentella
128767	Tomentella badia	56494	Tomentella
129212	Polytrichastrum alpinum	129211	Polytrichastrum
1293966	Escallonia alpina	23075	Escallonia
134639	Amara alpina	60755	Amara
135145	Carabus depressus	41074	Carabus
1351830	Epilobium fleischeri	13054	Epilobium
1355900	Diamesa cinerella	338156	Diamesa
1385497	Saxifraga bryoides	3798	Saxifraga
138601	Gunnera magellanica	24956	Gunnera
139363	Hydnum rufescens	57133	Hydnum
1395542	Agrostis rupestris	15297	Agrostis
1398205	Notiophilus aquaticus	41307	Notiophilus
1405138	Erigone arctica	247614	Erigone
140628	Racomitrium lanuginosum	70137	Racomitrium
140813	Carex firma	13398	Carex
1435664	Cherleria sedoides	1707114	Cherleria
1483593	Simplocaria metallica	338700	Simplocaria
1483842	Thanatophilus lapponicus	347474	Thanatophilus
1485667	Diplocephalus helleri	932988	Diplocephalus
1501873	Helophorus glacialis	154135	Helophorus
1532265	Anthyllis vulneraria subsp. alpestris	118889	Anthyllis
1534596	Sedum atratum	3784	Sedum
1553251	Cymindis vaporariorum	60752	Cymindis
1553348	Acidota crenata	1553347	Acidota
1553373	Boreaphilus henningianus	1553372	Boreaphilus
1553385	Cephalocousya nivicola	1553384	Cephalocousya
1553407	Geodromicus longipes	1553406	Geodromicus
1553531	Liogluta alpestris	619403	Liogluta
1553643	Patrobus septentrionis	60787	Patrobus
1553662	Phratora polaris	131699	Phratora
1553837	Miscodera arctica	1553836	Miscodera
157178	Tilletia barclayana	13289	Tilletia
157520	Gaultheria pumila	13538	Gaultheria
1577080	Achnanthidium rivulare	265567	Achnanthidium
159298	Deschampsia antarctica	15452	Deschampsia
164537	Tetracladium furcatum	164535	Tetracladium
1659357	Collinsia holmgreni	933046	Collinsia
1659903	Agyneta nigripes	685671	Agyneta
1678822	Rhithrogena nivata	307890	Rhithrogena
168919	Placopsis perrugosa	91804	Placopsis
1715899	Lobelia telekii	4382	Lobelia
175055	Primula denticulata	49647	Primula
1751537	Diamesa steinboecki	338156	Diamesa
1751540	Diamesa zernyi	338156	Diamesa
1751541	Orthocladius frigidus	288845	Orthocladius
1751544	Pseudokiefferiella parva	1751543	Pseudokiefferiella
1753982	Nitzschia hantzschiana	2857	Nitzschia
176815	Russula pascua	5402	Russula
1780255	Prosimulium latimucro	13645	Prosimulium
1790224	Tokunagaia rectangularis	611397	Tokunagaia
1795230	Maraenobiotus brucei	1795229	Maraenobiotus
184082	Eritrichium nanum	184081	Eritrichium
184104	Cladonia lepidophora	5199	Cladonia
185980	Fragilaria capucina	33644	Fragilaria
186513	Nebria angustata	60834	Nebria
186720	Berberis buxifolia	22774	Berberis
1875977	Rhyacophila evoluta	177632	Rhyacophila
1875987	Rhyacophila intermedia	177632	Rhyacophila
187635	Isotoma viridis	57735	Isotoma
1876357	Pseudopsilopteryx zimmeri	1876356	Pseudopsilopteryx
1886436	Senecio keniophytum	18794	Senecio
1926177	Erigone longipalpis	247614	Erigone
1963269	Diversispora versiformis	308926	Diversispora
1982783	Coelotes pickardi tirolensis	94021	Coelotes
199609	Androsace alpina	85163	Androsace
2014047	Rhithrogena loyolaea	307890	Rhithrogena
2045230	Dendrosenecio keniodendron	109557	Dendrosenecio
204742	Keratella quadrata	204737	Keratella
212688	Scorzoneroides helvetica	673751	Scorzoneroides
214434	Staurosirella pinnata	449168	Staurosirella
216617	Fragilariforma virescens	216616	Fragilariforma
220395	Nebria jockischii	60834	Nebria
220402	Nebria hellwigii	60834	Nebria
221504	Otiorhynchus nodosus	41162	Otiorhynchus
223866	Artemisia genipi	4219	Artemisia
226588	Inocybe curvipes	71953	Inocybe
2267583	Nitzschia perminuta	2857	Nitzschia
229869	Tectocepheus velatus	198301	Tectocepheus
230722	Cerastium fontanum	3579	Cerastium
242528	Rumex scutatus	3618	Rumex
245077	Acanthocyclops vernalis	245076	Acanthocyclops
2528720	Nitzschia gracilis	2857	Nitzschia
2578536	Eukiefferiella minor	288843	Eukiefferiella
2604012	Rhabdiopteryx alpina	2014063	Rhabdiopteryx
2707515	Baccharis racemosa	41487	Baccharis
271024	Telmatobius marmoratus	93484	Telmatobius
271547	Cerastium uniflorum	3579	Cerastium
2717729	Habroleptoides berthelemyi	446376	Habroleptoides
27898	Crenobia alpina	27897	Crenobia
282750	Achillea erba-rotta subsp. moschata	13328	Achillea
284366	Oxyria digyna	137682	Oxyria
285081	Aulacoseira alpigena	49233	Aulacoseira
286097	Rhinella spinulosa	651667	Rhinella
2864982	Nebria germarii	60834	Nebria
287373	Zygaena exulans	287110	Zygaena
2875554	Atheniella amabillissima	2282635	Atheniella
2881961	Eukiefferiella brevicalcar	288843	Eukiefferiella
