species_id,eprobe_passed,ratio
1085736,2173,3.48
111071,180019,288.03
1118155,23576,37.72
1250597,46363,74.18
127563,485,0.78
129212,108059,172.89
1293966,119098,190.56
134639,11665,18.66
135145,113783,182.05
1351830,10052,16.08
139363,128180,205.09
1395542,12096,19.35
1398205,11730,18.77
140813,45252,72.40
1483842,68518,109.63
1532265,20364,32.58
1534596,82946,132.71
1553662,74074,118.52
157178,71162,113.86
157520,4776,7.64
164537,194069,310.51
1715899,2531,4.05
175055,3523,5.64
1753982,193109,308.97
184104,4668,7.47
185980,137646,220.23
186720,52123,83.40
1875977,64107,102.57
1875987,58845,94.15
187635,92915,148.66
1886436,49372,79.00
1963269,26272,42.04
199609,512,0.82
226588,162025,259.24
229869,122963,196.74
242528,404,0.65
284366,1331,2.13
284592,53073,84.92
286097,26919,43.07
287373,14043,22.47
2886538,73027,116.84
2905844,149073,238.52
29771,2133,3.41
2996,108936,174.30
299780,3505,5.61
2998212,118124,189.00
309942,133140,213.02
32119,129445,207.11
327266,28384,45.41
328905,140043,224.07
344590,127356,203.77
346724,128678,205.88
350623,325,0.52
357475,68981,110.37
36063,337,0.54
370026,151507,242.41
39862,1178911,1886.26
408822,172418,275.87
410632,1107,1.77
428162,13148,21.04
42846,152631,244.21
441507,93805,150.09
466727,146161,233.86
475014,25000,40.00
4959,55023,88.04
50452,80820,129.31
52153,322,0.52
525771,60365,96.58
56490,154099,246.56
596920,133508,213.61
62722,212330,339.73
630096,2470,3.95
651987,70360,112.58
707889,145362,232.58
77067,5758,9.21
83410,63154,101.05
85710,42354,67.77
87701,10422,16.68
88642,180996,289.59
984906,1156,1.85
