species_id,mode,kraken_classified,kraken_genus,kraken_correct,competitive_classified,competitive_genus,competitive_correct,kraken_only,overlap,competitive_only
39862,aeDNA,2651415,2381179,2181806,485862,293407,285249,2127203,54603,230646
39862,modern,8966266,8572110,8298143,937509,785070,773884,7931174,366969,406915
42846,aeDNA,3805860,3540149,3424482,853862,755188,745669,3188445,236037,509632
42846,modern,10926872,10582245,10503230,1132518,989649,980418,9646417,856813,123605
111071,aeDNA,3196695,2258524,1846135,537499,370315,202420,1795818,50317,152103
111071,modern,8436001,6957921,6156194,791058,569164,204548,5992047,164147,40401
344590,aeDNA,1567266,1522860,1501242,3766246,3736960,3724735,173461,1327781,2396954
344590,modern,4566933,4522802,4499532,129351,119619,119111,4392816,106716,12395
357475,aeDNA,45556392,43594767,42395153,1487267,1249591,1220720,41989966,405187,815533
357475,modern,148608557,146208517,144952469,2346937,1923867,1885473,143338220,1614249,271224
408822,aeDNA,1789717,1640416,1593362,4596027,4519820,4505400,42481,1550881,2954519
408822,modern,4799798,4690578,4637181,72107,70881,63761,4575820,61361,2400
1250597,aeDNA,12546975,12146047,11882185,33543629,33492083,33491392,520750,11361435,22129957
1250597,modern,33060374,32905684,32796289,41508,3499,97,32796244,45,52
