species_id,mode,kraken_classified,kraken_genus,kraken_correct,competitive_classified,competitive_genus,competitive_correct,kraken_only,overlap,competitive_only
39862,aeDNA,2651415,2381179,2181806,485876,361756,351798,2112840,68966,282832
39862,modern,8966266,8572110,8298143,937541,785062,773884,7931174,366969,406915
42846,aeDNA,3805860,3540149,3424482,853867,755166,745663,3188445,236037,509626
42846,modern,10926872,10582245,10503230,1132525,989642,980411,9646417,856813,123598
111071,aeDNA,3196695,2258524,1846135,537512,370306,202420,1795818,50317,152103
111071,modern,8436001,6957921,6156194,791088,569159,204548,5992047,164147,40401
344590,aeDNA,1567266,1522860,1501242,3766245,3736960,3724736,173461,1327781,2396955
344590,modern,4566933,4522802,4499532,129352,119619,119111,4392816,106716,12395
357475,aeDNA,45556392,43594767,42395153,1487279,1249586,1220720,41989966,405187,815533
357475,modern,148608557,146208517,144952469,2346972,1921537,1885473,143338220,1614249,271224
408822,aeDNA,1789717,1640416,1593362,4596027,4519820,4505400,42481,1550881,2954519
408822,modern,4799798,4690578,4637181,72107,70881,63761,4575820,61361,2400
1250597,aeDNA,12546975,12146047,11882185,33543625,33492085,33491394,520750,11361435,22129959
1250597,modern,33060374,32905684,32796289,41519,3484,97,32796244,45,52
