species_id,mode,kraken_classified,kraken_genus,kraken_correct,competitive_classified,competitive_genus,competitive_correct,kraken_only,overlap,competitive_only
39862,aeDNA,2651415,2381179,2181806,63080088,62818847,62818180,39226,2142580,60675600
39862,modern,8966266,8572110,8298143,63345693,62874441,62874441,150117,8148026,54726415
42846,aeDNA,3805860,3540149,3424482,36789576,36562311,36562059,5966,3418516,33143543
42846,modern,10926872,10582245,10503230,37005793,36708281,36708281,35696,10467534,26240747
111071,aeDNA,3196695,2258524,1846135,48410833,44643215,44642769,370330,1475805,43166964
111071,modern,8436001,6957921,6156194,48447904,41254620,41254620,2766878,3389316,37865304
344590,aeDNA,1567266,1522860,1501242,11689798,11647620,11647620,2381,1498861,10148759
344590,modern,4566933,4522802,4499532,11694945,11628355,11628355,19386,4480146,7148209
357475,aeDNA,45556392,43594767,42395153,535980294,535421610,535420921,451472,41943681,493477240
357475,modern,148608557,146208517,144952469,541392000,540428632,540428632,219691,144732778,395695854
408822,aeDNA,1789717,1640416,1593362,8589858,8499190,8499190,7500,1585862,6913328
408822,modern,4799798,4690578,4637181,8590160,8262492,8262492,209764,4427417,3835075
1250597,aeDNA,12546975,12146047,11882185,40513570,40089473,40089464,140837,11741348,28348116
1250597,modern,33060374,32905684,32796289,40516403,39597409,39597409,798966,31997323,7600086
