Organism Taxonomic ID	Organism Name	Assembly Accession	Source Database	Assembly Level	Assembly Stats Total Sequence Length	Assembly Refseq Category	Assembly Status	Assembly Release Date
2890055	Androsace saussurei	GCA_964267185.3	SOURCE_DATABASE_GENBANK	Chromosome	412629385	reference genome	current	2025-02-28
2890055	Androsace saussurei	GCA_964267195.1	SOURCE_DATABASE_GENBANK	Chromosome	375279831		current	2024-09-28
50452	Arabis alpina	GCA_900128785.1	SOURCE_DATABASE_GENBANK	Chromosome	311642060	reference genome	current	2016-12-31
50452	Arabis alpina	GCA_000612745.1	SOURCE_DATABASE_GENBANK	Contig	171788040		current	2014-04-01
50452	Arabis alpina	GCA_000733195.1	SOURCE_DATABASE_GENBANK	Chromosome	308032609		current	2014-08-12
50452	Arabis alpina	GCA_014578035.1	SOURCE_DATABASE_GENBANK	Scaffold	268142023		current	2020-09-15
135145	Carabus depressus	GCA_048127345.1	SOURCE_DATABASE_GENBANK	Contig	190418360	reference genome	current	2025-02-26
2905844	Ceratophysella scotica	GCA_034694025.1	SOURCE_DATABASE_GENBANK	Contig	258688745	reference genome	current	2023-12-27
127563	Chrysochromulina parva	GCA_002887195.1	SOURCE_DATABASE_GENBANK	Contig	65752923	reference genome	current	2018-01-17
4959	Debaryomyces hansenii	GCA_001682995.1	SOURCE_DATABASE_GENBANK	Contig	11620116		current	2016-07-10
4959	Debaryomyces hansenii	GCA_003349505.1	SOURCE_DATABASE_GENBANK	Scaffold	11638269		current	2018-07-31
4959	Debaryomyces hansenii	GCA_006942205.1	SOURCE_DATABASE_GENBANK	Scaffold	12196618		current	2019-07-12
4959	Debaryomyces hansenii	GCA_006942215.1	SOURCE_DATABASE_GENBANK	Scaffold	12122615		current	2019-07-12
4959	Debaryomyces hansenii	GCA_006942225.1	SOURCE_DATABASE_GENBANK	Scaffold	11908416		current	2019-07-12
4959	Debaryomyces hansenii	GCA_006942235.1	SOURCE_DATABASE_GENBANK	Scaffold	12127194		current	2019-07-12
4959	Debaryomyces hansenii	GCA_006942305.1	SOURCE_DATABASE_GENBANK	Scaffold	12009733		current	2019-07-12
4959	Debaryomyces hansenii	GCA_006942325.1	SOURCE_DATABASE_GENBANK	Scaffold	12332422		current	2019-07-12
4959	Debaryomyces hansenii	GCA_016097515.1	SOURCE_DATABASE_GENBANK	Chromosome	18560919		current	2020-12-17
4959	Debaryomyces hansenii	GCA_016097625.1	SOURCE_DATABASE_GENBANK	Complete Genome	12580919		current	2020-12-17
4959	Debaryomyces hansenii	GCA_024256405.1	SOURCE_DATABASE_GENBANK	Contig	24773645		current	2022-07-13
4959	Debaryomyces hansenii	GCA_028412075.1	SOURCE_DATABASE_GENBANK	Complete Genome	13011227		current	2023-02-02
4959	Debaryomyces hansenii	GCA_028609645.1	SOURCE_DATABASE_GENBANK	Complete Genome	12906821		current	2023-02-13
4959	Debaryomyces hansenii	GCA_030558995.1	SOURCE_DATABASE_GENBANK	Scaffold	12104604		current	2023-07-31
4959	Debaryomyces hansenii	GCA_036689635.1	SOURCE_DATABASE_GENBANK	Chromosome	12440806		current	2024-02-18
4959	Debaryomyces hansenii	GCA_042766975.1	SOURCE_DATABASE_GENBANK	Contig	12217676		current	2024-10-08
4959	Debaryomyces hansenii	GCA_051362385.1	SOURCE_DATABASE_GENBANK	Scaffold	12301510		current	2025-07-15
4959	Debaryomyces hansenii	GCA_054122475.1	SOURCE_DATABASE_GENBANK	Scaffold	7960628		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122535.1	SOURCE_DATABASE_GENBANK	Scaffold	11664225		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122555.1	SOURCE_DATABASE_GENBANK	Scaffold	7808247		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122605.1	SOURCE_DATABASE_GENBANK	Scaffold	11574994		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122675.1	SOURCE_DATABASE_GENBANK	Scaffold	11883950		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122725.1	SOURCE_DATABASE_GENBANK	Scaffold	11717423		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122755.1	SOURCE_DATABASE_GENBANK	Scaffold	12438909		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122795.1	SOURCE_DATABASE_GENBANK	Scaffold	16158982		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122855.1	SOURCE_DATABASE_GENBANK	Scaffold	12100995		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122915.1	SOURCE_DATABASE_GENBANK	Scaffold	11480534		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054122935.1	SOURCE_DATABASE_GENBANK	Scaffold	11563828		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123055.1	SOURCE_DATABASE_GENBANK	Scaffold	11857404		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123155.1	SOURCE_DATABASE_GENBANK	Scaffold	8169900		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123215.1	SOURCE_DATABASE_GENBANK	Scaffold	9071405		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123375.1	SOURCE_DATABASE_GENBANK	Scaffold	10449681		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123435.1	SOURCE_DATABASE_GENBANK	Scaffold	11817902		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123445.1	SOURCE_DATABASE_GENBANK	Scaffold	8831310		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123495.1	SOURCE_DATABASE_GENBANK	Scaffold	6407937		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123525.1	SOURCE_DATABASE_GENBANK	Scaffold	11559752		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123575.1	SOURCE_DATABASE_GENBANK	Scaffold	11734700		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123595.1	SOURCE_DATABASE_GENBANK	Scaffold	22564859		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123615.1	SOURCE_DATABASE_GENBANK	Scaffold	11675204		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123675.1	SOURCE_DATABASE_GENBANK	Scaffold	11713807		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123715.1	SOURCE_DATABASE_GENBANK	Scaffold	11643992		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123735.1	SOURCE_DATABASE_GENBANK	Scaffold	11648038		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123775.1	SOURCE_DATABASE_GENBANK	Scaffold	8543671		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123835.1	SOURCE_DATABASE_GENBANK	Scaffold	9030336		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123845.1	SOURCE_DATABASE_GENBANK	Scaffold	7099556		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123875.1	SOURCE_DATABASE_GENBANK	Scaffold	11537579		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054123905.1	SOURCE_DATABASE_GENBANK	Scaffold	11760090		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124075.1	SOURCE_DATABASE_GENBANK	Scaffold	11901146		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124085.1	SOURCE_DATABASE_GENBANK	Scaffold	11361046		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124155.1	SOURCE_DATABASE_GENBANK	Scaffold	8485741		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124255.1	SOURCE_DATABASE_GENBANK	Scaffold	13283616		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124355.1	SOURCE_DATABASE_GENBANK	Scaffold	16791928		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124395.1	SOURCE_DATABASE_GENBANK	Scaffold	15805638		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124435.1	SOURCE_DATABASE_GENBANK	Scaffold	8745156		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124815.1	SOURCE_DATABASE_GENBANK	Scaffold	18440152		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124875.1	SOURCE_DATABASE_GENBANK	Scaffold	11052821		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054124915.1	SOURCE_DATABASE_GENBANK	Scaffold	13860020		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054125495.1	SOURCE_DATABASE_GENBANK	Scaffold	16821768		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054125565.1	SOURCE_DATABASE_GENBANK	Scaffold	8958625		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054125685.1	SOURCE_DATABASE_GENBANK	Scaffold	11586107		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054125705.1	SOURCE_DATABASE_GENBANK	Scaffold	12308197		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054125765.1	SOURCE_DATABASE_GENBANK	Scaffold	11419213		current	2025-12-22
4959	Debaryomyces hansenii	GCA_054125805.1	SOURCE_DATABASE_GENBANK	Scaffold	10278595		current	2025-12-22
284592	Debaryomyces hansenii CBS767	GCF_000006445.2	SOURCE_DATABASE_REFSEQ	Chromosome	12152486	reference genome	current	2008-09-16
284592	Debaryomyces hansenii CBS767	GCA_000006445.2	SOURCE_DATABASE_GENBANK	Chromosome	12152486	reference genome	current	2008-09-16
284592	Debaryomyces hansenii CBS767	GCA_937872485.1	SOURCE_DATABASE_GENBANK	Contig	11675309		current	2023-01-12
284592	Debaryomyces hansenii CBS767	GCA_963379305.1	SOURCE_DATABASE_GENBANK	Contig	8388548		current	2023-08-24
1118155	Debaryomyces hansenii var. hansenii MTCC 234	GCA_000239015.2	SOURCE_DATABASE_GENBANK	Contig	11462343		current	2011-12-20
370026	Desoria olivacea	GCA_034695115.1	SOURCE_DATABASE_GENBANK	Contig	177300040	reference genome	current	2023-12-27
1448309	Hydnum rufescens UP504	GCA_014904985.1	SOURCE_DATABASE_GENBANK	Scaffold	67135451	reference genome	current	2020-10-20
2996	Hydrurus foetidus	GCA_900617105.1	SOURCE_DATABASE_GENBANK	Contig	171182409		current	2019-04-01
187635	Isotoma viridis	GCA_034696425.1	SOURCE_DATABASE_GENBANK	Contig	211144109	reference genome	current	2023-12-27
466727	Lednia tumana	GCA_003287335.1	SOURCE_DATABASE_GENBANK	Scaffold	304502267	reference genome	current	2018-07-03
707889	Lepidocyrtus lignorum	GCA_034696835.1	SOURCE_DATABASE_GENBANK	Contig	250812609	reference genome	current	2023-12-27
284366	Oxyria digyna	GCA_053567975.1	SOURCE_DATABASE_GENBANK	Chromosome	548593125	reference genome	current	2025-11-19
284366	Oxyria digyna	GCA_029168935.1	SOURCE_DATABASE_GENBANK	Contig	561227150		current	2023-03-13
284366	Oxyria digyna	GCA_053567965.1	SOURCE_DATABASE_GENBANK	Chromosome	539997947		current	2025-11-19
284366	Oxyria digyna	GCA_964035995.1	SOURCE_DATABASE_GENBANK	Chromosome	552120928		current	2024-05-10
284366	Oxyria digyna	GCA_964036005.1	SOURCE_DATABASE_GENBANK	Scaffold	583590125		current	2024-05-10
93036	Poa annua	GCA_026929855.1	SOURCE_DATABASE_GENBANK	Chromosome	1779762036	reference genome	current	2022-12-16
129212	Polytrichastrum alpinum	GCA_048933195.1	SOURCE_DATABASE_GENBANK	Chromosome	498256416	reference genome	current	2025-03-25
